location,ds,yhat,yhat_lower,yhat_upper
India,2020-01-05,-26451.535916790897,-67777.2864428564,11919.973420656524
India,2020-01-06,-24979.133188419266,-65843.62612061229,14564.441243215937
India,2020-01-07,-23206.66335967175,-62712.6986376535,14085.69392741273
India,2020-01-08,-21229.762044444946,-63035.90915084785,20283.155889797767
India,2020-01-09,-19066.60705084259,-57546.559428072294,20641.300018854174
India,2020-01-10,-16685.144332563097,-55078.37281243425,21637.92871033628
India,2020-01-11,-14139.982025636587,-53847.65301343961,23598.86923190705
India,2020-01-12,-11381.957627415222,-50680.68249377547,27902.682120658526
India,2020-01-13,-8639.840921215218,-46379.8774698008,32346.64394572049
India,2020-01-14,-5775.102995450455,-45906.94686467738,35294.04713736505
India,2020-01-15,-2906.026041208759,-42103.314133759835,37780.80248229272
India,2020-01-16,-70.29234702578196,-39828.4474965084,39801.48111394912
India,2020-01-17,2748.2487948678618,-36446.69936324005,40589.353604914664
India,2020-01-18,5483.077133306131,-34509.784415824724,46047.912612314896
India,2020-01-19,8175.745428381228,-32560.23162580901,47824.75594352709
India,2020-01-20,10594.400504151832,-28206.92306343632,47647.535048395745
India,2020-01-21,12879.144747093585,-27241.518638850772,52211.27018826742
India,2020-01-22,14917.959205730198,-25885.84104099844,53867.865733744526
India,2020-01-23,16684.047963435965,-24359.451334948775,57345.56873088541
India,2020-01-24,18208.90547997384,-22222.71682936016,56291.45645892306
India,2020-01-25,19445.550504518797,-20584.919892566428,58501.95472632155
India,2020-01-26,20458.91655694803,-20401.740264806627,60121.73436476433
India,2020-01-27,21043.935334164416,-18561.950716727828,63468.831410762614
India,2020-01-28,21370.385620972884,-20065.61968522713,62853.39287731032
India,2020-01-29,21358.23988253496,-18150.980765194254,61959.15654102422
India,2020-01-30,21014.380779069208,-20125.609207301095,59815.90774775062
India,2020-01-31,20405.00311672717,-19481.932084949258,58233.425364535135
India,2020-02-01,19518.159575586364,-17691.59994009089,61525.83868473288
India,2020-02-02,18453.45551583238,-23056.10842387163,59403.16294785484
India,2020-02-03,17039.444720392275,-22993.39900383931,54806.98850421571
India,2020-02-04,15477.813978187001,-24962.370301865525,56359.3572657902
India,2020-02-05,13718.103462689935,-27177.899392276377,53365.99848022535
India,2020-02-06,11793.849020042995,-29242.647577633317,49306.51870763389
India,2020-02-07,9794.474516708227,-27231.892250410892,50104.795649429805
India,2020-02-08,7727.403682498989,-27553.248176564248,47965.45000474466
India,2020-02-09,5707.406040547365,-33837.25055234162,46646.30671072614
India,2020-02-10,3573.736049290935,-35450.03641214912,45061.15288521685
India,2020-02-11,1534.1584372964735,-37545.01400537096,43344.09992097181
India,2020-02-12,-460.3905408439623,-43326.715721776905,38423.670038032105
India,2020-02-13,-2379.6193962996913,-39953.91333415465,35362.35524548794
India,2020-02-14,-4141.849030725338,-41782.72971499244,33948.64802246578
India,2020-02-15,-5751.6664812518575,-47434.41723121315,34948.80675195915
India,2020-02-16,-7110.256585426987,-47369.340297072784,31197.848675085974
India,2020-02-17,-8397.860825668851,-46987.63618390059,30719.722589047567
India,2020-02-18,-9429.28052852118,-49386.63962894943,33372.53088193769
India,2020-02-19,-10278.686352217675,-50534.42211824509,31145.98032222315
India,2020-02-20,-10942.86039840944,-48902.54539694284,30709.765559519008
India,2020-02-21,-11368.558477245348,-46180.92521338387,30147.218065834288
India,2020-02-22,-11589.541587087057,-49168.1490044598,27365.800134640594
India,2020-02-23,-11536.282855835689,-51413.17634980129,29898.53881178229
India,2020-02-24,-11417.81346697921,-50393.30793306724,29000.30982750884
India,2020-02-25,-11076.638477469034,-51935.69929371835,28940.23278836602
India,2020-02-26,-10612.997330969163,-48929.489263029536,30994.91907379742
India,2020-02-27,-10047.607106325057,-51192.552573548855,28274.429644215557
India,2020-02-28,-9348.586298724358,-45047.140044057414,31399.267341810624
India,2020-02-29,-8568.116924615333,-48314.774031836816,29253.665335999034
India,2020-03-01,-7651.857317505931,-45507.26847294772,35751.20895668052
India,2020-03-02,-6820.575178337012,-46646.402685229674,37884.99500600038
India,2020-03-03,-5924.933230235655,-45082.1393914312,33081.082536362286
India,2020-03-04,-5069.703538774758,-42935.60565330363,33959.69608302078
India,2020-03-05,-4276.54697630685,-42031.63901982343,37343.03982543933
India,2020-03-06,-3511.052217067627,-40643.267679206176,35088.36296009543
India,2020-03-07,-2819.5866720281433,-40470.215912201245,37761.486766075745
India,2020-03-08,-2138.965442483309,-42356.04901967658,39081.592241787366
India,2020-03-09,-1678.3982162542775,-42565.42517593818,37318.75669436164
India,2020-03-10,-1274.638154730592,-39047.00026008394,40539.982805207685
India,2020-03-11,-1016.597707648095,-40317.39445110349,36909.07592170964
India,2020-03-12,-908.5568466432359,-44143.966169727835,40333.36263076111
India,2020-03-13,-897.6466720568646,-41745.13870154218,38663.51610187556
India,2020-03-14,-1011.1493597004362,-38052.349082023065,40434.889277563976
India,2020-03-15,-1166.609375641172,-41025.61886299798,38305.68213645579
India,2020-03-16,-1554.20530944422,-43420.50764010207,37973.741281954666
India,2020-03-17,-1992.2966420472799,-42389.93038508676,38939.06939357056
India,2020-03-18,-2552.401729309059,-40606.81894320042,38207.81966338326
India,2020-03-19,-3222.7251117286005,-39744.68108622375,41465.32349707397
India,2020-03-20,-3935.9111591293736,-43585.35069820999,40186.41267000595
India,2020-03-21,-4706.560621997954,-43999.27122319173,36431.81272403775
India,2020-03-22,-5441.502242481382,-46882.34854931443,33548.991148002504
India,2020-03-23,-6322.267643355384,-47205.63423038725,37622.79870727757
India,2020-03-24,-7160.684297399067,-42901.24055939675,34797.78228487695
India,2020-03-25,-8023.844893740226,-48364.646748966756,32706.873404950667
