country,wave,peak_date,peak_cases_7da
India,1,2020-09-23,92323.0
India,2,2021-05-12,391280.0
India,3,2022-01-26,302157.0
United States,1,2021-01-13,238164.0
United States,2,2022-01-19,807276.0
Brazil,1,2020-08-05,45588.0
Brazil,2,2021-03-31,76146.0
Brazil,3,2022-02-02,183289.0
Brazil,4,2022-07-20,59896.0
Brazil,5,2022-12-21,48259.0
United Kingdom,1,2021-01-13,60382.0
United Kingdom,2,2022-01-12,188619.0
United Kingdom,3,2022-03-30,86625.0
Germany,1,2022-03-30,226984.0
Germany,2,2022-07-20,96447.0
Germany,3,2022-10-19,92141.0
South Africa,1,2020-07-22,12385.0
South Africa,2,2021-01-13,17898.0
South Africa,3,2021-07-14,18998.0
South Africa,4,2021-12-22,23284.0
South Africa,5,2022-05-18,7364.0
Japan,1,2022-02-09,90136.0
Japan,2,2022-08-10,213853.0
Japan,3,2022-12-28,164276.0
Australia,1,2022-01-12,84116.0
Australia,2,2022-04-06,56569.0
Australia,3,2022-08-03,45683.0
